8B,64B,1024B
0.000027,0.000018,0.000015
0.000014,0.000014,0.000013
0.000016,0.000013,0.000017
0.000014,0.000014,0.000015
0.000014,0.000014,0.000013
0.000014,0.000016,0.000014
0.000014,0.000014,0.000014
0.000013,0.000014,0.000013
0.000014,0.000013,0.000014
0.000012,0.000015,0.000014
0.000014,0.000013,0.000015
0.000014,0.000013,0.000013
0.000014,0.000014,0.000014
0.000013,0.000012,0.000013
0.000014,0.000011,0.000014
0.000013,0.000013,0.000014
0.000013,0.000011,0.000015
0.000014,0.000013,0.000014
0.000013,0.000014,0.000013
0.000012,0.000014,0.000014
0.000012,0.000014,0.000014
0.000014,0.000014,0.000013
0.000014,0.000014,0.000013
0.000013,0.000014,0.000013
0.000014,0.000013,0.000014
0.000013,0.000013,0.000013
0.000012,0.000013,0.000015
0.000013,0.000014,0.000014
0.000013,0.000014,0.000014
0.000014,0.000014,0.000014
0.000013,0.000013,0.000014
0.000014,0.000014,0.000014
0.000014,0.000014,0.000014
0.000014,0.000013,0.000013
0.000014,0.000013,0.000014
0.000010,0.000014,0.000014
0.000032,0.000014,0.000015
0.000014,0.000013,0.000014
0.000013,0.000013,0.000014
0.000013,0.000013,0.000014
0.000013,0.000014,0.000014
0.000013,0.000013,0.000014
0.000014,0.000013,0.000013
0.000014,0.000013,0.000015
0.000013,0.000014,0.000013
0.000013,0.000013,0.000014
0.000011,0.000014,0.000014
0.000013,0.000013,0.000014
0.000013,0.000013,0.000014
0.000013,0.000013,0.000014
