1K,16K,64K,256K,1M
0.000029,0.000107,0.000123,0.000210,0.001225
0.000028,0.000066,0.000121,0.000337,0.001196
0.000028,0.000063,0.000127,0.000326,0.001136
0.000029,0.000057,0.000110,0.000353,0.001142
0.000030,0.000057,0.000120,0.000289,0.001115
0.000024,0.000060,0.000119,0.000306,0.001123
0.000026,0.000047,0.000103,0.000265,0.001106
0.000027,0.000053,0.000127,0.000308,0.001139
0.000027,0.000055,0.000119,0.000306,0.001120
0.000029,0.000061,0.000122,0.000300,0.001124
0.000026,0.000059,0.000120,0.000307,0.001158
0.000029,0.000060,0.000119,0.000341,0.001148
0.000027,0.000054,0.000122,0.000308,0.001087
0.000026,0.000059,0.000097,0.000270,0.001111
0.000028,0.000064,0.000126,0.000307,0.001118
0.000026,0.000060,0.000129,0.000320,0.001151
0.000026,0.000055,0.000097,0.000265,0.001133
0.000028,0.000041,0.000106,0.000267,0.001101
0.000029,0.000061,0.000118,0.000302,0.001115
0.000026,0.000057,0.000099,0.000264,0.001101
0.000029,0.000066,0.000132,0.000315,0.001113
0.000030,0.000059,0.000124,0.000308,0.001115
0.000026,0.000047,0.000101,0.000264,0.001121
0.000025,0.000067,0.000118,0.000307,0.001096
0.000029,0.000051,0.000102,0.000265,0.001103
0.000028,0.000042,0.000122,0.000307,0.001123
0.000027,0.000038,0.000099,0.000265,0.001123
0.000025,0.000060,0.000123,0.000325,0.001160
0.000027,0.000051,0.000104,0.000263,0.001096
0.000027,0.000060,0.000119,0.000286,0.001109
0.000028,0.000061,0.000117,0.000315,0.001130
0.000028,0.000061,0.000119,0.000318,0.001127
0.000027,0.000057,0.000089,0.000268,0.001098
0.000028,0.000043,0.000122,0.000306,0.001131
0.000028,0.000040,0.000099,0.000263,0.001123
0.000027,0.000048,0.000101,0.000264,0.001120
0.000028,0.000062,0.000126,0.000310,0.001103
0.000026,0.000050,0.000095,0.000264,0.001100
0.000028,0.000062,0.000156,0.000307,0.001120
0.000025,0.000054,0.000106,0.000273,0.001136
0.000028,0.000060,0.000120,0.000312,0.001133
0.000028,0.000054,0.000126,0.000307,0.001145
0.000028,0.000038,0.000096,0.000266,0.001121
0.000025,0.000064,0.000118,0.000305,0.001159
0.000028,0.000053,0.000098,0.000266,0.001104
0.000027,0.000046,0.000122,0.000325,0.001108
0.000028,0.000066,0.000119,0.000315,0.001122
0.000027,0.000051,0.000101,0.000262,0.001115
0.000026,0.000054,0.000104,0.000266,0.001127
0.000028,0.000050,0.000099,0.000265,0.001105
