1K,16K,64K,256K,1M
0.000289,0.000456,0.003341,0.006885,0.043672
0.000249,0.001128,0.002312,0.011437,0.038463
0.000203,0.000539,0.002855,0.011299,0.054322
0.000192,0.001127,0.001781,0.011154,0.051740
0.000227,0.000956,0.001624,0.010228,0.054077
0.000212,0.001072,0.001703,0.010849,0.046202
0.000190,0.001376,0.001842,0.010198,0.039266
0.000167,0.000938,0.002429,0.014240,0.037179
0.000181,0.001123,0.003157,0.010851,0.049444
0.000206,0.001341,0.002366,0.008084,0.045652
0.000189,0.001189,0.001632,0.012360,0.033446
0.000232,0.000729,0.001773,0.008266,0.042711
0.000250,0.000741,0.002079,0.007586,0.037380
0.000204,0.001841,0.002961,0.008805,0.035935
0.000205,0.000702,0.002565,0.008763,0.039835
0.000196,0.000658,0.001824,0.009726,0.048855
0.000199,0.001141,0.001969,0.008910,0.036209
0.000193,0.001431,0.002165,0.008249,0.038528
0.000181,0.001021,0.002088,0.007143,0.037300
0.000190,0.001048,0.002486,0.011074,0.038601
0.000201,0.001297,0.001631,0.006760,0.037364
0.000188,0.001339,0.002920,0.013019,0.047236
0.000190,0.000736,0.001396,0.008523,0.052249
0.000272,0.001254,0.001849,0.011956,0.054217
0.000185,0.001550,0.001163,0.010083,0.037261
0.000196,0.001491,0.001594,0.006479,0.054735
0.000175,0.001288,0.001846,0.011247,0.054678
0.000216,0.000824,0.002078,0.008696,0.038160
0.000189,0.000815,0.003108,0.010730,0.046275
0.000189,0.000981,0.002675,0.012326,0.054475
0.000272,0.001421,0.002799,0.012587,0.039225
0.000209,0.000759,0.002022,0.008144,0.043091
0.000207,0.000853,0.001735,0.009270,0.040883
0.000205,0.000768,0.001641,0.009365,0.052220
0.000202,0.000883,0.001848,0.010867,0.053843
0.000171,0.001104,0.002299,0.008780,0.050507
0.000193,0.001079,0.002683,0.007116,0.036251
0.000182,0.001010,0.002460,0.006386,0.037045
0.000194,0.001506,0.002130,0.007655,0.036525
0.000181,0.000796,0.001634,0.008618,0.038843
0.000171,0.001683,0.003639,0.008704,0.043859
0.000189,0.001056,0.001611,0.009215,0.035797
0.000190,0.000937,0.002201,0.012557,0.037668
0.000171,0.000612,0.001838,0.006158,0.042008
0.000266,0.000794,0.001564,0.010430,0.052906
0.000221,0.000807,0.001657,0.008869,0.037433
0.000195,0.001228,0.001790,0.010084,0.048935
0.000185,0.001202,0.002002,0.012522,0.046100
0.000190,0.000856,0.002691,0.010291,0.038231
0.000197,0.000421,0.001941,0.011632,0.054304
