1K,16K,64K,256K,1M
0.000049,0.000096,0.000263,0.000751,0.002877
0.000035,0.000062,0.000222,0.000704,0.002635
0.000037,0.000070,0.000219,0.000693,0.002665
0.000038,0.000065,0.000206,0.000688,0.002526
0.000030,0.000081,0.000192,0.000687,0.002606
0.000036,0.000088,0.000246,0.000695,0.002528
0.000037,0.000108,0.000225,0.000680,0.002556
0.000038,0.000066,0.000240,0.000650,0.002525
0.000036,0.000063,0.000223,0.000694,0.002655
0.000039,0.000084,0.000218,0.000716,0.002599
0.000039,0.000099,0.000237,0.000633,0.002618
0.000037,0.000063,0.000206,0.000642,0.002621
0.000039,0.000111,0.000195,0.000662,0.002603
0.000039,0.000088,0.000220,0.000681,0.002599
0.000040,0.000114,0.000221,0.000680,0.002555
0.000041,0.000113,0.000233,0.000666,0.002604
0.000037,0.000087,0.000201,0.000674,0.002587
0.000037,0.000090,0.000193,0.000673,0.002636
0.000038,0.000066,0.000229,0.000675,0.002599
0.000037,0.000063,0.000206,0.000693,0.002640
0.000037,0.000060,0.000196,0.000657,0.002633
0.000037,0.000065,0.000186,0.000681,0.002510
0.000037,0.000092,0.000219,0.000673,0.002572
0.000032,0.000064,0.000180,0.000657,0.002529
0.000028,0.000055,0.000195,0.000667,0.002598
0.000038,0.000099,0.000209,0.000670,0.002632
0.000039,0.000100,0.000198,0.000664,0.002563
0.000035,0.000090,0.000243,0.000684,0.002650
0.000038,0.000094,0.000221,0.000663,0.002662
0.000039,0.000064,0.000195,0.000645,0.002574
0.000038,0.000064,0.000181,0.000701,0.002580
0.000030,0.000085,0.000198,0.000708,0.002684
0.000040,0.000092,0.000220,0.000688,0.002554
0.000037,0.000057,0.000184,0.000688,0.002593
0.000036,0.000090,0.000213,0.000671,0.002608
0.000040,0.000095,0.000209,0.000681,0.002569
0.000036,0.000090,0.000244,0.000675,0.002643
0.000039,0.000087,0.000202,0.000674,0.002617
0.000039,0.000066,0.000226,0.000665,0.002584
0.000041,0.000085,0.000228,0.000676,0.002643
0.000041,0.000083,0.000205,0.000675,0.002625
0.000034,0.000091,0.000206,0.000694,0.002540
0.000036,0.000082,0.000239,0.000675,0.002626
0.000037,0.000086,0.000222,0.000680,0.002570
0.000038,0.000089,0.000214,0.000674,0.002629
0.000061,0.000096,0.000199,0.000679,0.002605
0.000038,0.000095,0.000241,0.000646,0.002597
0.000036,0.000091,0.000209,0.000659,0.002599
0.000038,0.000094,0.000225,0.000675,0.002536
0.000039,0.000091,0.000207,0.000694,0.002636
