1024B,512B,256B
0.011206,0.015538,0.023678
0.011379,0.015328,0.027214
0.012774,0.018455,0.024277
0.010424,0.016378,0.026549
0.010073,0.015361,0.030133
0.014632,0.017434,0.029335
0.014040,0.020629,0.028527
0.012593,0.014364,0.029382
0.011690,0.016082,0.025829
0.013321,0.014034,0.024614
0.010776,0.017516,0.025448
0.014585,0.017843,0.030803
0.012475,0.015889,0.024703
0.012498,0.013285,0.024404
0.011284,0.017128,0.025550
0.012750,0.015317,0.029124
0.013464,0.017917,0.029747
0.012797,0.020023,0.025014
0.013549,0.019218,0.032603
0.014154,0.019238,0.027347
0.010836,0.017319,0.029568
0.013765,0.015543,0.025431
0.010996,0.017428,0.025323
0.011779,0.019059,0.030628
0.013751,0.015866,0.029131
0.012629,0.020235,0.030638
0.014577,0.018908,0.027571
0.012532,0.016301,0.025603
0.008743,0.018557,0.026521
0.009470,0.017794,0.028359
0.013061,0.019193,0.029821
0.012451,0.019330,0.027389
0.013224,0.020233,0.025937
0.012367,0.020534,0.027153
0.011532,0.015927,0.023389
0.012436,0.018422,0.024521
0.012781,0.017093,0.027719
0.010337,0.018890,0.031300
0.014422,0.018808,0.025307
0.013427,0.017566,0.030237
0.011089,0.020559,0.026001
0.013195,0.017480,0.025566
0.011746,0.017241,0.025255
0.012583,0.014550,0.029223
0.013713,0.018249,0.030950
0.010601,0.017052,0.025370
0.009318,0.018478,0.027900
0.010541,0.017669,0.025294
0.010377,0.015886,0.027641
0.009097,0.016548,0.029661
